Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
,,,2023-05-18 20:36:51.236,5.0578E-08
,,,2023-05-18 20:36:51.872,4.7407E-08
,,,2023-05-18 20:36:52.508,4.9956E-08
,,,2023-05-18 20:36:53.151,4.9241E-08
,,,2023-05-18 20:36:53.787,4.9169E-08
,,,2023-05-18 20:36:54.429,4.9492E-08
,,,2023-05-18 20:36:55.068,4.9858E-08
,,,2023-05-18 20:36:55.712,5.0217E-08
,,,2023-05-18 20:36:56.351,5.077E-08
,,,2023-05-18 20:36:56.986,4.7848E-08
,,,2023-05-18 20:36:57.630,4.8314E-08
,,,2023-05-18 20:36:58.269,4.9652E-08
,,,2023-05-18 20:36:58.909,5.0595E-08
,,,2023-05-18 20:36:59.550,4.993E-08
,,,2023-05-18 20:37:00.191,5.0181E-08
,,,2023-05-18 20:37:00.831,4.9434E-08
,,,2023-05-18 20:37:01.469,4.9216E-08
,,,2023-05-18 20:37:02.109,5.1614E-08
,,,2023-05-18 20:37:02.751,5.088E-08
,,,2023-05-18 20:37:03.389,4.9401E-08
,,,2023-05-18 20:37:04.029,4.7739E-08
,,,2023-05-18 20:37:04.667,5.0187E-08
,,,2023-05-18 20:37:05.305,5.1E-08
,,,2023-05-18 20:37:05.949,4.895E-08
,,,2023-05-18 20:37:06.590,4.9484E-08
,,,2023-05-18 20:37:07.233,5.078E-08
,,,2023-05-18 20:37:07.870,4.9323E-08
,,,2023-05-18 20:37:08.512,4.9431E-08
